coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Wed Jul 28 07:52:49 +0000 2021,,,"https://wydarzenia.interia.pl/raporty/raport-koronawirus-chiny/aktualnosci/news-usa-zakaz-noszenia-maseczek-w-kosciele-decyzja-pastora,nId,5385620#utm_source=paste&utm_medium=paste&utm_campaign=chrome",1,1420291135478566921,,,,pl,,false,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Pastor z Tennessee zagroził swoim wiernym, że wyprosi ze świątyni każdego, kto założy maseczkę. W przeszłości nazywał szczepionkę przeciw COVID-19 wodą z cukrem i twierdził, że pandemia została wymyślona.
https://t.co/esZUKj4PIO",https://twitter.com/Int_Wydarzenia/status/1420291135478566921,Tue May 12 11:37:57 +0000 2009,39480709,false,"Najnowsze i najważniejsze wiadomości ze świata polityki, gospodarki, kultury i sportu",413,39551,363,253,"Kraków, Poland",Interia,Int_Wydarzenia,105234,,http://wydarzenia.interia.pl,false
,Wed Jul 28 07:52:55 +0000 2021,szczepimysie,,,0,1420291162540232705,,,,pl,,,,3,1420241738707480579,Spychacz2,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ej GŁĄBY z @szczepimysie #szczepimysie po ilu dawkach będę mógł wyjść do WC? Dla Polaków pytam! Po 6 dawkach nie może wyjść,studiować..... Durnie, zdecydujcie się,ile dawek zabójczej berbeluchy głupiego gnoma z Żoliborza,przewidujecie dla Polaków?
https://t.co/VimuJnT4Di",https://twitter.com/alicjasuwalska1/status/1420291162540232705,Fri Mar 10 06:39:41 +0000 2017,840089761075290112,true,Tylko prawa strona. Cenię Pana Grzegorza Brauna i moim ulubieńcem jest Pan Michalkiewicz. Nie znoszę nowomowy i lewactwa.,31052,333,545,0,,Ela,alicjasuwalska1,26752,,,false
,Wed Jul 28 08:49:01 +0000 2021,,,,0,1420305278474539008,,,,pl,,,,1,1420299888072527873,Instytut_Rolny,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Resort @MZ_GOV_PL nie ma wątpliwości: W okolicach ferm norek koronawirusem nie zaraża się więcej osób

Jesteśmy ciekawi, co z tym faktem zrobi @MRiRW_GOV_PL ? Czy skończy się przymusowe zabijanie zwierząt? 

@lkwarzecha @R_A_Ziemkiewicz @krzysztofbosak 

https://t.co/uR3hXMILlK",https://twitter.com/kukashnjudster/status/1420305278474539008,Mon Apr 29 21:28:50 +0000 2019,1122976056938500101,false,"Environmental activist. 
Aktywista ekologiczny.",35630,532,552,0,,Kukashnjudster,kukashnjudster,27151,,,false
,Wed Jul 28 08:56:52 +0000 2021,PILNE,,,0,1420307256307036163,,,,pl,,,,6,1420302996957708293,tvn24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#PILNE | Ministerstwo Zdrowia poinformowało w środę o 138 nowych, potwierdzonych przypadkach zakażenia koronawirusem. Resort przekazał też, że w ciągu ostatniej doby z powodu COVID-19 zmarły trzy osoby.

Czytaj więcej w @tvn24:
https://t.co/pJ7a9MfU7v https://t.co/0h8eHApLz1",https://twitter.com/LeszczynskaBaja/status/1420307256307036163,Thu Jun 15 14:38:05 +0000 2017,875361777231556608,false,"prawo - TAK,   sprawiedliwość -TAK, ,  ale bez ""i""",196879,3721,4902,7,,Baja Leszczyńska #SilniRazem,LeszczynskaBaja,60884,,,false
,Wed Jul 28 08:32:03 +0000 2021,koronawirus,,,0,1420301012217303041,,,,pl,,,,36,1420300665381851143,MZ_GOV_PL,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mamy 138 nowych i potwierdzonych przypadków zakażenia #koronawirus z województw: małopolskiego (20), śląskiego (20), mazowieckiego (18), pomorskiego (13), lubelskiego (10), wielkopolskiego (9), warmińsko-mazurskiego (7), dolnośląskiego (6), podkarpackiego (6),",https://twitter.com/PiGwaPL/status/1420301012217303041,Wed Jul 28 08:17:49 +0000 2010,171835102,false,she/her. Life is hard. Marvel. F1.  INFJ. 26. 181013 🇳🇱 190601 🇬🇧 💜,44196,2276,3210,21,Polska,Still Alive 花樣年華 💃,PiGwaPL,68212,,,false
,Wed Jul 28 08:42:01 +0000 2021,PILNE,,,0,1420303519358365697,,,,pl,,,,6,1420302996957708293,tvn24,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","#PILNE | Ministerstwo Zdrowia poinformowało w środę o 138 nowych, potwierdzonych przypadkach zakażenia koronawirusem. Resort przekazał też, że w ciągu ostatniej doby z powodu COVID-19 zmarły trzy osoby.

Czytaj więcej w @tvn24:
https://t.co/pJ7a9MfU7v https://t.co/0h8eHApLz1",https://twitter.com/FaktyTVN/status/1420303519358365697,Tue Sep 24 18:07:48 +0000 2013,1901341021,false,Najlepszy program informacyjny codziennie o 19:00 w TVN. Członek rodziny @tvn24. Instagram: @faktytvn.,1377,215499,56,470,Polska,Fakty TVN,FaktyTVN,134720,,http://www.fakty.tvn.pl,true
,Wed Jul 28 08:41:57 +0000 2021,,,,0,1420303501528293380,,,,pl,,,,2,1420300987940622339,ma_drza,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Clapton bardzo odchorował przyjęcie  szczepionki. Mimo to nie akceptuje segregacji ludzi według szczepień i nie będzie  koncertował w Wielkiej  Brytanii. Da koncerty  w USA, w Teksasie, bo tam normalnie traktuje się ludzi. 
https://t.co/7j42d4TMj1",https://twitter.com/CreepyJoeBiden9/status/1420303501528293380,Mon Jan 18 17:21:14 +0000 2021,1351217883460861952,false,"Identyfikuje się jako osoba zaszczepiona
II konto
#covid1984
#agenda2030
#plandemia",2241,227,504,3,Polska,Creepy Joe Biden 🇵🇱,CreepyJoeBiden9,13143,,,false
,Wed Jul 28 08:56:17 +0000 2021,,,"https://www.rmf24.pl/raporty/raport-koronawirus-z-chin/europa/news-przez-pomylke-dostala-szesc-dawek-szczepionki-ale-nie-ma-prz,nId,5385550",1,1420307107975507976,,,,pl,,false,,2,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Rmf24: Web Share API Przez pomyłkę dostała sześć dawek szczepionki, ale nie ma przepustki Covid - RMF 24 https://t.co/PXwAK26NRt",https://twitter.com/Biay83318359/status/1420307107975507976,Tue Jul 23 16:05:54 +0000 2019,1153697754989912064,false,Nacjonalista,91022,665,676,6,Gruissan,Biały,Biay83318359,55510,,,false
,Wed Jul 28 08:30:04 +0000 2021,swiadomosc spoleczenstwo pandemia koronawirus,,,3,1420300509664194562,,,,pl,,,,1,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jednym z większych społecznie problemów są dzisiaj ludzie wykształceni, elokwentni, ale mocno ograniczeni w kontekście szerszej społecznej świadomości i odpowiedzialności. Ten czas obnażył ich całkowicie. 

#swiadomosc #spoleczenstwo #pandemia #koronawirus",https://twitter.com/marian_offbeat/status/1420300509664194562,Sat Mar 02 23:03:47 +0000 2013,1236843150,false,"Obywatel Polski. Kocham Polskę, wolność i mądrych ludzi. Nie znoszę przyziemności zarówno w polityce jak i w społeczeństwie. Tweetuję czasem z humorem.",20297,300,581,0,,Marian Offbeat 🌑🌘🌗🌖🌕,marian_offbeat,7707,,,false
,Wed Jul 28 08:38:10 +0000 2021,,https://twitter.com/OnetWiadomosci/status/1420302550855688194/photo/1,http://dlvr.it/S4Z6kr,1,1420302550855688194,,,,pl,,false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Najnowsze dane o koronawirusie w Polsce – 28 lipca 2021 r. https://t.co/HMPtLOGZ2r https://t.co/UlZ9LAGTgV,https://twitter.com/OnetWiadomosci/status/1420302550855688194,Wed May 16 12:31:18 +0000 2012,581793998,false,Onet Wiadomości to najpopularniejszy polski multimedialny serwis informacyjny.,3432,124599,808,404,Polska,Onet Wiadomości,OnetWiadomosci,188046,,http://wiadomosci.onet.pl,false
